FECHA,Tipo de Cambio,Superior,Regular,Diesel,Bunker,Glp Cilindro 25Lbs. GTQ/CIL 25 LB,Glp Cilindro 25Lbs. GTQ/LB
1-Jan-22,7.71912,28.69,27.91,24.51,17.28,122,4.88
2-Jan-22,7.71912,28.69,27.91,24.51,17.28,122,4.88
3-Jan-22,7.71912,28.79,27.99,24.6,17.91,122,4.88
4-Jan-22,7.71745,28.79,27.99,24.6,17.91,122,4.88
5-Jan-22,7.71558,28.79,27.99,24.6,17.91,122,4.88
6-Jan-22,7.71823,28.79,27.99,24.6,17.91,122,4.88
7-Jan-22,7.71343,28.79,27.99,24.6,17.91,122,4.88
8-Jan-22,7.71343,28.79,27.99,24.6,17.91,122,4.88
9-Jan-22,7.71343,28.79,27.99,24.6,17.91,122,4.88
10-Jan-22,7.71101,29.65,28.85,25.46,18.55,122,4.88
11-Jan-22,7.70832,29.65,28.85,25.46,18.55,122,4.88
12-Jan-22,7.70898,29.65,28.85,25.46,18.55,122,4.88
13-Jan-22,7.7062,29.65,28.85,25.46,18.55,122,4.88
14-Jan-22,7.70777,29.65,28.85,25.46,18.55,122,4.88
15-Jan-22,7.70777,29.65,28.85,25.46,18.55,122,4.88
16-Jan-22,7.70777,29.65,28.85,25.46,18.55,122,4.88
17-Jan-22,7.70046,30.49,29.69,26.49,18.97,122,4.88
18-Jan-22,7.70453,30.49,29.69,26.49,18.97,122,4.88
19-Jan-22,7.69958,30.49,29.69,26.49,18.97,122,4.88
20-Jan-22,7.69537,30.49,29.69,26.49,18.97,122,4.88
21-Jan-22,7.69195,30.49,29.69,26.49,18.97,122,4.88
22-Jan-22,7.69195,30.49,29.69,26.49,18.97,122,4.88
23-Jan-22,7.69195,30.49,29.69,26.49,18.97,122,4.88
24-Jan-22,7.68855,31.49,30.69,27.49,19.55,122,4.88
25-Jan-22,7.68581,31.49,30.69,27.49,19.55,122,4.88
26-Jan-22,7.68541,31.49,30.69,27.49,19.55,122,4.88
27-Jan-22,7.68649,31.49,30.69,27.49,19.55,122,4.88
28-Jan-22,7.68995,31.49,30.69,27.49,19.55,122,4.88
29-Jan-22,7.68995,31.49,30.69,27.49,19.55,122,4.88
30-Jan-22,7.68995,31.49,30.69,27.49,19.55,122,4.88
31-Jan-22,7.68981,31.5,30.69,27.98,19.85,122,4.88
1-Feb-22,7.68555,31.5,30.69,27.98,19.85,122,4.88
2-Feb-22,7.69221,31.5,30.69,27.98,19.85,122,4.88
3-Feb-22,7.69189,31.5,30.69,27.98,19.85,122,4.88
4-Feb-22,7.69495,31.5,30.69,27.98,19.85,122,4.88
5-Feb-22,7.69495,31.5,30.69,27.98,19.85,122,4.88
6-Feb-22,7.69495,31.5,30.69,27.98,19.85,122,4.88
7-Feb-22,7.69122,32.19,32.39,28.58,20.3,122,4.88
8-Feb-22,7.6886,32.19,32.39,28.58,20.3,122,4.88
9-Feb-22,7.69229,32.19,32.39,28.58,20.3,122,4.88
10-Feb-22,7.69531,32.19,32.39,28.58,20.3,122,4.88
11-Feb-22,7.69226,32.19,32.39,28.58,20.3,122,4.88
12-Feb-22,7.69226,32.19,32.39,28.58,20.3,122,4.88
13-Feb-22,7.69226,32.19,32.39,28.58,20.3,122,4.88
14-Feb-22,7.69255,32.22,31.42,28.61,20.35,122,4.88
15-Feb-22,7.68841,32.22,31.42,28.61,20.35,122,4.88
16-Feb-22,7.69562,32.22,31.42,28.61,20.35,122,4.88
17-Feb-22,7.69349,32.22,31.42,28.61,20.35,122,4.88
18-Feb-22,7.70039,32.22,31.42,28.61,20.35,122,4.88
19-Feb-22,7.70039,32.22,31.42,28.61,20.35,122,4.88
20-Feb-22,7.70039,32.22,31.42,28.61,20.35,122,4.88
21-Feb-22,7.69849,33.5,32.7,29.88,20.35,122,4.88
22-Feb-22,7.70788,33.5,32.7,29.88,20.35,122,4.88
23-Feb-22,7.70468,33.5,32.7,29.88,20.35,122,4.88
24-Feb-22,7.71285,33.5,32.7,29.88,20.35,122,4.88
25-Feb-22,7.7169,33.5,32.7,29.88,20.35,122,4.88
