Fecha,Gas licuado de petróleo,Gasolina regular,Gasolina superior,Diesel alto azufre,Total importación
ene-01,"194,065.74","177,776.50","373,963.96","566,101.99","2,312,639.05"
feb-01,"170,703.38","123,115.99","243,091.07","489,525.80","1,769,208.76"
mar-01,"161,837.37","161,726.42","312,084.38","575,559.68","1,945,770.26"
abr-01,"163,048.64","127,338.74","285,054.89","437,745.42","1,623,637.76"
may-01,"171,518.86","168,730.19","300,913.67","552,609.13","2,262,726.64"
jun-01,"190,004.42","152,899.09","333,217.19","497,855.26","1,824,276.55"
jul-01,"206,022.83","136,299.13","195,071.86","302,350.02","1,394,477.93"
ago-01,"100,561.47","139,365.07","268,153.26","464,159.13","1,972,910.20"
sep-01,"186,839.02","233,643.75","308,439.07","321,952.94","1,844,364.84"
oct-01,"163,864.20","141,550.22","305,102.28","438,989.55","2,035,583.98"
nov-01,"194,722.50","165,841.46","256,638.19","440,245.35","1,583,854.01"
dic-01,"194,329.02","149,217.67","277,145.05","479,983.27","1,813,372.46"
ene-02,"168,422.62","178,585.93","271,479.00","500,041.32","2,214,211.79"
feb-02,"200,141.36","144,447.25","365,657.75","686,923.83","2,096,131.61"
mar-02,"193,422.60","104,673.64","246,292.60","432,538.46","1,917,417.14"
abr-02,"218,257.51","190,339.00","310,256.30","424,667.36","1,926,443.67"
may-02,"159,299.42","194,830.10","363,311.76","497,781.66","1,940,745.86"
jun-02,"210,874.61","137,050.80","250,123.19","496,826.62","2,263,887.75"
jul-02,"199,708.55","222,408.00","428,842.80","636,727.84","2,115,006.12"
ago-02,"192,213.74","143,795.00","298,280.33","346,225.00","1,720,984.22"
sep-02,"190,686.73","156,956.90","331,053.70","638,933.22","1,661,151.31"
oct-02,"210,871.19","195,426.80","352,055.50","703,749.81","1,873,908.09"
nov-02,"227,595.86","153,185.70","291,188.76","573,289.50","1,789,660.83"
dic-02,"192,272.02","167,596.71","440,677.81","678,749.64","2,093,020.71"
ene-03,"237,532.26","228,269.50","425,185.50","797,344.38","2,172,887.58"
feb-03,"169,819.00","214,490.70","443,849.85","765,912.66","2,004,305.05"
mar-03,"221,030.86","161,257.48","363,352.66","693,942.31","2,021,898.55"
abr-03,"192,170.14","189,824.89","335,444.69","873,103.10","2,141,681.44"
may-03,"185,016.67","269,981.86","459,025.69","625,190.08","2,105,743.01"
jun-03,"231,805.03","182,254.23","372,486.53","671,882.83","1,874,349.16"
jul-03,"216,504.93","133,668.20","400,922.97","822,014.55","2,085,145.14"
ago-03,"209,952.38","169,903.86","292,365.04","494,087.13","1,747,223.28"
sep-03,"231,499.19","177,217.53","398,192.16","614,913.68","1,854,607.76"
oct-03,"216,302.81","181,668.03","260,219.92","433,084.99","1,699,713.25"
nov-03,"232,526.98","205,624.08","393,951.96","627,189.78","2,233,856.06"
dic-03,"214,489.86","161,477.73","296,780.15","745,524.88","1,784,554.15"
ene-04,"251,271.55","173,427.23","368,235.14","762,385.45","2,254,213.30"
feb-04,"197,730.29","147,939.23","281,891.97","460,947.50","1,746,259.10"
mar-04,"253,366.12","275,539.38","486,880.82","772,128.26","2,468,706.33"
