,Forecast
2020-12-01,
2021-01-01,1241983.5846963758
2021-02-01,1227761.6812403388
2021-03-01,1223159.8325319847
2021-04-01,1094735.3246473793
2021-05-01,1062616.2772394484
2021-06-01,949466.586820965
2021-07-01,923674.4984990885
2021-08-01,918783.7949654073
2021-09-01,924475.7525345964
2021-10-01,1025425.3725550662
2021-11-01,1062509.2452195017
2021-12-01,1183338.976531138
2022-01-01,1216000.615569896
2022-02-01,1223451.3336784663
2022-03-01,1208834.5909836846
2022-04-01,1095524.0083415755
2022-05-01,1051634.8693750433
2022-06-01,948492.0475230213
2022-07-01,923186.5141933656
2022-08-01,917276.799173476
2022-09-01,933096.2822149573
2022-10-01,1025036.8671479106
2022-11-01,1072855.47344487
2022-12-01,1184558.8065707022
2023-01-01,1216873.206152089
2023-02-01,1224601.91211008
2023-03-01,1198523.4800136173
2023-04-01,1095156.6209763885
