Fecha,Diesel_conjunto
2000-01-01,634667.0600000002
2000-02-01,642380.6599999996
2000-03-01,699807.2500000002
2000-04-01,586803.9800000004
2000-05-01,656948.2000000003
2000-06-01,570919.8800000002
2000-07-01,576436.0200000001
2000-08-01,593770.7700000004
2000-09-01,590145.3999999999
2000-10-01,641113.36
2000-11-01,657086.2999999998
2000-12-01,673282.2600000004
2001-01-01,569328.7899999996
2001-02-01,597749.8299999998
2001-03-01,736085.9700000006
2001-04-01,606257.6599999999
2001-05-01,664082.6599999999
2001-06-01,559333.0300000001
2001-07-01,589452.7299999995
2001-08-01,568546.3700000003
2001-09-01,533108.3900000001
2001-10-01,603371.1800000003
2001-11-01,626156.1799999997
2001-12-01,664190.1799999999
2002-01-01,726672.5999999994
2002-02-01,694344.7799999996
2002-03-01,656379.2900000003
2002-04-01,683646.1700000002
2002-05-01,707165.47
2002-06-01,667820.7100000001
2002-07-01,656761.6
2002-08-01,657099.7399999999
2002-09-01,653664.5999999999
2002-10-01,653053.2700000004
2002-11-01,671401.3299999998
2002-12-01,676192.4500000004
2003-01-01,769843.2999999998
2003-02-01,709783.5799999998
2003-03-01,786484.4899999996
2003-04-01,709626.3900000001
2003-05-01,755982.0500000006
2003-06-01,641540.0800000003
2003-07-01,631704.1199999998
2003-08-01,613428.5500000002
2003-09-01,582989.4699999999
2003-10-01,722763.6000000001
2003-11-01,639828.3899999998
2003-12-01,652872.4500000003
2004-01-01,656987.4000000003
2004-02-01,659540.4299999996
2004-03-01,746236.8400000002
2004-04-01,633766.0599999996
2004-05-01,556369.7000000002
2004-06-01,560393.4799999999
2004-07-01,583098.55
2004-08-01,699610.8000000006
2004-09-01,612639.57
2004-10-01,619084.7900000002
2004-11-01,705298.1599999999
2004-12-01,761864.2999999996
2005-01-01,724692.3600000006
2005-02-01,717116.7700000003
2005-03-01,802139.5800000004
2005-04-01,803996.9300000004
2005-05-01,715360.4399999997
2005-06-01,681743.3599999999
2005-07-01,678614.4700000003
2005-08-01,693681.1300000001
2005-09-01,666258.3700000005
2005-10-01,589830.24
2005-11-01,701255.4700000002
2005-12-01,775027.2000000002
2006-01-01,750946.3600000006
2006-02-01,734530.7599999998
2006-03-01,875047.2899999993
2006-04-01,711185.23
2006-05-01,734289.1499999997
2006-06-01,672428.8699999999
2006-07-01,684438.7000000004
2006-08-01,707219.6900000004
2006-09-01,650791.3799999997
2006-10-01,683543.1300000005
2006-11-01,739181.99
2006-12-01,776330.2599999997
2007-01-01,810372.6599999998
2007-02-01,799394.5999999997
2007-03-01,956680.1899999994
2007-04-01,758988.5800000005
2007-05-01,811703.6900000001
2007-06-01,720896.7699999994
2007-07-01,721550.6100000003
2007-08-01,736620.8999999996
2007-09-01,669587.8799999998
2007-10-01,738702.8599999999
2007-11-01,779547.0500000004
2007-12-01,768886.87
2008-01-01,797668.91
2008-02-01,794000.2500000003
2008-03-01,776026.79
2008-04-01,807725.7699999996
2008-05-01,682326.1799999997
2008-06-01,507662.6499999999
2008-07-01,544399.26
2008-08-01,556174.3999999998
2008-09-01,557802.6199999998
2008-10-01,617863.1299999998
2008-11-01,688104.1100000006
2008-12-01,778953.8400000002
2009-01-01,800526.4700000004
2009-02-01,795050.5099999998
2009-03-01,865981.5699999997
2009-04-01,822109.7399999996
2009-05-01,770687.2800000006
2009-06-01,703815.5500000003
2009-07-01,740868.0900000004
2009-08-01,692376.6999999998
2009-09-01,687435.1000000003
2009-10-01,775739.5600000005
2009-11-01,738678.6499999997
2009-12-01,891670.4099999999
2010-01-01,777741.3400000005
2010-02-01,807692.0999999996
2010-03-01,1017058.1799999999
2010-04-01,762770.0100000006
2010-05-01,721668.1800000003
2010-06-01,683236.5400000003
2010-07-01,721584.6000000002
2010-08-01,695796.3300000004
2010-09-01,687553.8800000001
2010-10-01,745415.5100000001
2010-11-01,785917.3999999993
2010-12-01,843761.9999999998
2011-01-01,850696.7899999995
2011-02-01,819940.5000000001
2011-03-01,900485.9100000004
2011-04-01,797527.2299999996
2011-05-01,803849.5300000001
2011-06-01,729676.7899999998
2011-07-01,718255.06
2011-08-01,699736.0800000003
2011-09-01,660384.9300000002
2011-10-01,672214.9300000004
2011-11-01,794507.2400000005
2011-12-01,862318.7999999997
2012-01-01,814956.7200000003
2012-02-01,848067.2499999995
2012-03-01,925065.2700000007
2012-04-01,792201.7299999995
2012-05-01,771542.4700000001
2012-06-01,712464.9400000002
2012-07-01,699130.0399999995
2012-08-01,716720.3599999995
2012-09-01,632120.3699999999
2012-10-01,728414.88
2012-11-01,812523.4399999992
2012-12-01,848262.9299999996
2013-01-01,863769.4100000005
2013-02-01,808853.9699999994
2013-03-01,898352.1999999996
2013-04-01,966103.9200000003
2013-05-01,827601.2500000006
2013-06-01,775187.1199999999
2013-07-01,732544.5199999998
2013-08-01,773147.8999999994
2013-09-01,672125.16
2013-10-01,800049.1200000002
2013-11-01,821457.4499999995
2013-12-01,860351.8999999993
2014-01-01,917251.5399999993
2014-02-01,890362.3099999999
2014-03-01,1004937.3899999997
2014-04-01,972039.4199999995
2014-05-01,877263.3099999994
2014-06-01,733508.6999999998
2014-07-01,826918.8099999996
2014-08-01,793694.0099999999
2014-09-01,728498.8399999997
2014-10-01,836278.1200000002
2014-11-01,885713.7400000007
2014-12-01,1021378.0899999994
2015-01-01,1014706.21
2015-02-01,980149.8400000002
2015-03-01,1142551.0599999994
2015-04-01,1011167.7399999991
2015-05-01,944316.6599999992
2015-06-01,880016.4700000001
2015-07-01,902586.3600000002
2015-08-01,887796.8500000002
2015-09-01,734654.2199999997
2015-10-01,834285.95
2015-11-01,925431.0000000005
2015-12-01,1047478.8400000001
2016-01-01,1084043.6300000006
2016-02-01,1055672.6400000006
2016-03-01,1107296.6499999994
2016-04-01,1149175.19
2016-05-01,1019984.4000000005
2016-06-01,888538.1000000002
2016-07-01,883716.0399999997
2016-08-01,866270.0200000006
2016-09-01,877800.5600000005
2016-10-01,916410.6999999993
2016-11-01,1019671.9700000003
2016-12-01,1113827.1000000003
2017-01-01,1079339.2999999993
